block,cluster,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,mean_copies,tree_consistent
343,0,0.023981011899999998,2,15,0.6551724137931034,False
338,0,0.018718085799999996,1,13,0.7068965517241379,False
346,0,0.0160187844,2,14,0.6896551724137931,False
345,0,0.0160187844,2,14,0.6896551724137931,False
344,0,0.0160187844,2,14,0.6896551724137931,False
341,0,0.0160187844,2,14,0.6896551724137931,False
340,0,0.0160187844,2,14,0.6896551724137931,False
339,0,0.0160187844,2,14,0.6896551724137931,False
337,0,0.014614866400000004,1,12,0.7241379310344828,False
336,0,0.014614866400000004,1,12,0.7241379310344828,False
289,1,0.014530982299999998,4,22,1.8275862068965518,False
48,2,0.014117018400000006,4,19,2.1724137931034484,False
470,3,0.01266872,1,9,0.8448275862068966,False
144,4,0.011833768299999999,4,17,1.3620689655172413,False
342,0,0.0109971577,2,14,0.6724137931034483,False
36,5,0.0108512411,4,22,2.2413793103448274,False
567,6,0.0102548374,2,12,0.5689655172413793,False
560,7,0.0087293561,8,25,3.396551724137931,False
347,8,0.0078842236,5,19,2.6206896551724137,False
281,9,0.007338296100000002,6,24,3.396551724137931,False
562,10,0.007233828599999999,4,14,2.1551724137931036,False
558,11,0.004689453800000001,2,9,1.1551724137931034,False
566,12,0.0044758606,4,13,1.5,False
587,13,0.0040886824,2,10,0.7586206896551724,False
588,14,0.003831889800000001,2,9,0.896551724137931,False
559,15,0.0033559714000000003,2,9,1.5172413793103448,False
591,16,0.0026575071,1,4,0.29310344827586204,False
531,17,0.0021737112,1,4,0.7241379310344828,False
596,18,0.0016458304999999998,2,5,0.08620689655172414,False
597,19,0.0016243754,1,4,0.10344827586206896,False
252,20,0.0014522308,1,3,0.603448275862069,False
568,18,0.0013331226999999998,1,4,0.06896551724137931,False
586,21,0.0012940152,1,4,0.43103448275862066,False
585,21,0.0012940152,1,4,0.43103448275862066,False
584,22,0.0012940152,1,4,0.8620689655172413,False
603,23,0.0012068944000000002,1,3,0.05172413793103448,False
448,24,0.0011248672,1,3,0.896551724137931,False
602,18,0.0009314852000000001,1,3,0.06896551724137931,False
598,25,0.0008961412,1,3,0.05172413793103448,False
561,26,0.000782422,1,3,0.05172413793103448,False
213,27,0.0007602335000000001,1,2,0.9482758620689655,False
595,28,0.0006993489999999999,1,3,0.08620689655172414,False
132,29,0.0006947172,1,3,3.413793103448276,False
606,30,0.0006692272,1,2,0.034482758620689655,False
251,31,0.0006615421,2,4,2.413793103448276,False
391,24,0.0006542762,1,2,0.896551724137931,False
390,24,0.0006542762,1,2,0.896551724137931,False
392,24,0.0006215247,1,2,0.9482758620689655,False
583,32,0.0006180559,1,2,0.06896551724137931,False
328,33,0.0006176386,1,2,0.9482758620689655,False
327,33,0.0006176386,1,2,0.9482758620689655,False
582,34,0.0005316857,1,2,0.034482758620689655,False
609,35,0.0004583958,1,2,0.034482758620689655,False
590,36,0.00045534140000000003,1,2,0.034482758620689655,False
453,24,0.00043806620000000004,1,2,0.9655172413793104,False
452,24,0.00043806620000000004,1,2,0.9655172413793104,False
451,24,0.00043806620000000004,1,2,0.9655172413793104,False
450,24,0.00043806620000000004,1,2,0.9655172413793104,False
449,24,0.00043806620000000004,1,2,0.9655172413793104,False
447,24,0.00043806620000000004,1,2,0.9655172413793104,False
446,24,0.00043806620000000004,1,2,0.9655172413793104,False
445,24,0.00043806620000000004,1,2,0.9655172413793104,False
444,24,0.00043806620000000004,1,2,0.9655172413793104,False
443,24,0.00043806620000000004,1,2,0.9655172413793104,False
442,24,0.00043806620000000004,1,2,0.9655172413793104,False
441,24,0.00043806620000000004,1,2,0.9655172413793104,False
370,24,0.00034990469999999997,1,2,0.9137931034482759,False
369,24,0.00034990469999999997,1,2,0.9137931034482759,False
574,37,0.0003383813,1,2,0.7758620689655172,False
263,38,0.0003383813,1,2,1.7758620689655173,False
604,39,0.0003023512,1,2,0.034482758620689655,False
601,40,0.0002965874,1,2,0.034482758620689655,False
589,34,0.0002836246,1,2,0.08620689655172414,False
569,41,0.00025876640000000004,1,2,0.06896551724137931,False
368,24,0.0002544282,1,2,0.8620689655172413,False
367,24,0.0002544282,1,2,0.8620689655172413,False
124,42,0.00023754,1,3,0.7413793103448276,False
39,43,0.00023754,1,3,6.741379310344827,False
38,43,0.00023754,1,3,6.741379310344827,False
410,44,0.00020458099999999998,1,2,0.7931034482758621,False
594,28,0.0001431835,1,2,0.08620689655172414,False
73,45,0.00011411240000000001,2,4,0.9655172413793104,False
189,46,0.00011364519999999999,2,4,0.6379310344827587,False
608,39,5.2785700000000005e-05,1,2,0.034482758620689655,False
