block,multichromo,parallel_rear_score,number_of_inconsistent_colors,number_of_parallel_events,tree_consistent
72,False,0.0015727012000000002,1,4,False
73,False,0.0015727012000000002,1,4,False
74,False,0.0015727012000000002,1,4,False
70,False,0.001544101,1,4,False
218,False,0.0015267812000000001,1,4,False
45,False,0.0014412202,1,5,False
31,False,0.0012297167,1,4,False
32,False,0.0012297167,1,4,False
34,False,0.0009170418,2,5,False
46,False,0.0008534786999999999,1,4,False
47,False,0.0008534786999999999,1,4,False
48,False,0.0008534786999999999,1,4,False
219,False,0.000834776,1,3,False
216,False,0.000780878,1,3,False
87,False,0.0007750416000000001,1,3,False
68,False,0.0007062613,1,4,False
217,False,0.0006831114000000001,1,3,False
203,False,0.0005882279999999999,1,3,False
69,False,0.0005189874,1,3,False
49,False,0.000514487,1,3,False
205,False,0.0004993034,1,3,False
78,False,0.00035339960000000005,1,2,False
83,False,0.00035269280000000005,1,2,False
84,False,0.00035269280000000005,1,2,False
86,False,0.00035269280000000005,1,2,False
148,True,0.0003396156,1,2,False
62,False,0.0003341434,1,3,False
63,False,0.0003341434,1,3,False
58,False,0.00030380950000000005,1,2,False
85,False,0.00030380950000000005,1,2,False
10,False,0.0002914828,1,3,False
11,False,0.0002914828,1,3,False
75,False,0.00028490270000000004,1,2,False
76,False,0.00028490270000000004,1,2,False
77,False,0.00028490270000000004,1,2,False
157,False,0.0002170144,1,2,False
67,False,0.0002144864,1,2,False
201,False,0.000141536,1,2,False
202,False,0.000141536,1,2,False
61,False,0.00010999629999999999,1,2,False
169,False,3.7560899999999995e-05,1,2,False
116,False,3.2348e-06,1,2,False
115,False,3.1994999999999996e-06,1,2,False
98,True,0,0,0,True
99,True,0,0,0,True
112,True,0,0,0,True
113,True,0,0,0,True
146,True,0,0,0,True
147,True,0,0,0,True
182,True,0,0,0,True
183,True,0,0,0,True
184,True,0,0,0,True
185,True,0,0,0,True
186,True,0,0,0,True
187,True,0,0,0,True
188,True,0,0,0,True
189,True,0,0,0,True
190,True,0,0,0,True
191,True,0,0,0,True
192,True,0,0,0,True
193,True,0,0,0,True
194,True,0,0,0,True
1,False,0,0,0,True
2,False,0,0,0,True
3,False,0,0,0,True
4,False,0,0,0,True
5,False,0,0,0,True
6,False,0,0,0,True
7,False,0,0,0,True
8,False,0,0,0,True
9,False,0,0,0,True
12,False,0,0,0,True
13,False,0,0,0,True
14,False,0,0,0,True
15,False,0,0,0,True
16,False,0,0,0,True
17,False,0,0,0,True
18,False,0,0,0,True
19,False,0,0,0,True
20,False,0,0,0,True
21,False,0,0,0,True
22,False,0,0,0,True
23,False,0,0,0,True
24,False,0,0,0,True
25,False,0,0,0,True
26,False,0,0,0,True
27,False,0,0,0,True
28,False,0,0,0,True
29,False,0,0,0,True
30,False,0,0,0,True
33,False,0,0,0,True
35,False,0,0,0,True
36,False,0,0,0,True
37,False,0,0,0,True
38,False,0,0,0,True
39,False,0,0,0,True
40,False,0,0,0,True
41,False,0,0,0,True
42,False,0,0,0,True
43,False,0,0,0,True
44,False,0,0,0,True
50,False,0,0,0,True
51,False,0,0,0,True
52,False,0,0,0,True
53,False,0,0,0,True
54,False,0,0,0,True
55,False,0,0,0,True
56,False,0,0,0,True
57,False,0,0,0,True
59,False,0,0,0,True
60,False,0,0,0,True
64,False,0,0,0,True
65,False,0,0,0,True
66,False,0,0,0,True
71,False,0,0,0,True
79,False,0,0,0,True
80,False,0,0,0,True
81,False,0,0,0,True
82,False,0,0,0,True
88,False,0,0,0,True
89,False,0,0,0,True
90,False,0,0,0,True
91,False,0,0,0,True
92,False,0,0,0,True
93,False,0,0,0,True
94,False,0,0,0,True
95,False,0,0,0,True
96,False,0,0,0,True
97,False,0,0,0,True
100,False,0,0,0,True
101,False,0,0,0,True
102,False,0,0,0,True
103,False,0,0,0,True
104,False,0,0,0,True
105,False,0,0,0,True
106,False,0,0,0,True
107,False,0,0,0,True
108,False,0,0,0,True
109,False,0,0,0,True
110,False,0,0,0,True
111,False,0,0,0,True
114,False,0,0,0,True
117,False,0,0,0,True
118,False,0,0,0,True
119,False,0,0,0,True
120,False,0,0,0,True
121,False,0,0,0,True
122,False,0,0,0,True
123,False,0,0,0,True
124,False,0,0,0,True
125,False,0,0,0,True
126,False,0,0,0,True
127,False,0,0,0,True
128,False,0,0,0,True
129,False,0,0,0,True
130,False,0,0,0,True
131,False,0,0,0,True
132,False,0,0,0,True
133,False,0,0,0,True
134,False,0,0,0,True
135,False,0,0,0,True
136,False,0,0,0,True
137,False,0,0,0,True
138,False,0,0,0,True
139,False,0,0,0,True
140,False,0,0,0,True
141,False,0,0,0,True
142,False,0,0,0,True
143,False,0,0,0,True
144,False,0,0,0,True
145,False,0,0,0,True
149,False,0,0,0,True
150,False,0,0,0,True
151,False,0,0,0,True
152,False,0,0,0,True
153,False,0,0,0,True
154,False,0,0,0,True
155,False,0,0,0,True
156,False,0,0,0,True
158,False,0,0,0,True
159,False,0,0,0,True
160,False,0,0,0,True
161,False,0,0,0,True
162,False,0,0,0,True
163,False,0,0,0,True
164,False,0,0,0,True
165,False,0,0,0,True
166,False,0,0,0,True
167,False,0,0,0,True
168,False,0,0,0,True
170,False,0,0,0,True
171,False,0,0,0,True
172,False,0,0,0,True
173,False,0,0,0,True
174,False,0,0,0,True
175,False,0,0,0,True
176,False,0,0,0,True
177,False,0,0,0,True
178,False,0,0,0,True
179,False,0,0,0,True
180,False,0,0,0,True
181,False,0,0,0,True
195,False,0,0,0,True
196,False,0,0,0,True
197,False,0,0,0,True
198,False,0,0,0,True
199,False,0,0,0,True
200,False,0,0,0,True
204,False,0,0,0,True
206,False,0,0,0,True
207,False,0,0,0,True
208,False,0,0,0,True
209,False,0,0,0,True
