strain,character_state,character_state_annotation
BUMA.0521.00032,3,inversion between 236h-237t and 237h-238t
BUMA.0521.00001,0,adjacency exists
BUMA.0521.00011,0,adjacency exists
BUMA.0521.00021,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00025,0,adjacency exists
BUMA.0521.00005,3,inversion between 236h-237t and 237h-238t
BUMA.0521.00024,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00028,0,adjacency exists
BUMA.0521.00016,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00014,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00022,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00007,0,adjacency exists
BUMA.0521.00018,0,adjacency exists
BUMA.0521.00026,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00019,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00002,0,adjacency exists
BUMA.0521.00029,0,adjacency exists
BUMA.0521.00010,0,adjacency exists
BUMA.0521.00027,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00017,3,inversion between 236h-237t and 237h-238t
BUMA.0521.00015,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00030,0,adjacency exists
BUMA.0521.00012,0,adjacency exists
BUMA.0521.00003,0,adjacency exists
BUMA.0521.00020,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00023,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00008,0,adjacency exists
BUMA.0521.00006,0,adjacency exists
BUMA.0521.00013,0,adjacency exists
BUMA.0521.00031,0,adjacency exists
BUMA.0521.00009,4,inversion between 236h-237t and 237h-225h
BUMA.0521.00004,0,adjacency exists
